G228线东厦至陈岱段公路安全提升工程开标记录
开标时间：2025-04-28 07:01信息来源：漳州市公共资源交易中心

开标参与人	漳州市公路事业发展中心云霄分中心,福建安华发展有限公司
开标地点	云霄第一开标室
开标时间	2025-04-28 07:01
开标记录内容	
标段名称：开标内容

开标地点：云霄第一开标室

开标时间：2025-04-27

序号	投标单位名称	项目经理和总工姓名	投标保证金的递交情况	工期	信用分申请使用情况（施工企业）	信用分申请使用情况(项目经理)	信用分申请使用情况(项目总工)	是否申请信用分奖励（施工企业）	是否申请信用分奖励（项目经理）	是否申请信用分奖励（项目总工）	投标总报价(元)	开标备注
186	宁德市路桥养护工程有限公司	项目经理：徐庆山；项目总工：王水发	无失信企业免缴投标保证金	计划工期：120 日历天；其它工期要求：/；计划开工日期：2025-05-06；计划交工日期：2025-09-06	/	/	/	否	否	否	6683636	无
187	安徽省泗县康通建设工程有限公司	项目经理：张桂梅 项目总工：许伽洛	免缴	计划工期：120 日历天	/	/	/	否	否	否	6709315	无
188	内蒙古天础建设有限公司	项目经理：张蒙；项目总工：樊磊	无失信记录企业免缴投标保证金	计划工期：120 日历天	/	/	/	否	否	否	6650666	无
189	厦门市通途工程有限公司	古铭、栾辉	无需递交	120日历天	B	B	B	否	否	否	6536215	无
190	福建怡鹭工程有限公司	项目经理：陈振全；项目总工：李威	已递交	120日历天	/	/	/	否	否	否	6680199	无
191	宁夏海达交通工程有限公司	丁晓琴、王跃辉	已递交	120日历天（其它工期要求：/计划开工日期：2025-05-06 计划交工日期：2025-09-06）	/	/	/	否	否	否	6825356	无
192	云南四安建设工程有限公司	项目经理：迟红丽 和总工：黄东	无失信免缴保证金	120 日历天	B	B	B	否	否	否	6861128	无
193	福建省宁通路桥有限公司	龚匡盛、陈聪勇	免缴投标保证金	计划工期：120 日历天；其它工期要求：/；计划开工日期：2025-05-06；计划交工日期：2025-09-06②	/	/	/	否	否	否	6650666	无
194	安徽勋成建筑工程有限公司	项目经理：许斌，总工：郭庆坤	已递交	120日历天	B	B	B	否	否	否	6384619	无
195	福建省大田县中交建设工程有限公司	罗建林、陈伟	免缴投标保证金	120 日历天	/	/	/	否	否	否	6591947	无
196	厦门市鑫路广工程有限公司	项目经理：黄彬杰，项目总工：项斌	免缴投标保证金	计划工期：120 日历天，其它工期要求：/，计划开工日期：2025-05-06，计划交工日期：2025-09-06②	/	/	/	否	否	否	6647134	无
197	江西大业建设工程有限公司	项目经理：罗胜，总工：谌思连	无失信记录企业免缴投标保证金承诺函	计划工期：120 日历天 其它工期要求：/ 计划开工日期：2025-05-06 计划交工日期：2025-09-06	B	B	B	否	否	否	6322577	无
198	福建省东安交通工程有限公司	郑琦、孙鸿招	递交免缴投标保证金承诺函	120日历天	/	/	/	否	否	否	6671364	无
199	江西盛世建业集团有限公司	项目经理：邓锦龙 总工：韩琴	已递交免缴投标保证金承诺函	120日历天	/	/	/	否	否	否	6591736	无
200	内蒙古腾祥工程建设有限公司	高磊、杨小波	免缴	120 日历天	/	/	/	否	否	否	6521582	无
201	厦门市科发交通工程有限公司	林龙海、徐丽波	已递交	计划工期：120日历天；其它工期要求：/；计划开工日期：2025-05-06；计划交工日期：2025-09-06	/	/	/	否	否	否	6523372	无
202	江西志帮实业有限公司	项目经理：胡博 总工：刘勇	免缴保证金	120日历天	B	B	B	是	是	是	6480893	无
203	湖北中博广泰建设发展有限公司	王骏、孙衎	无失信企业免缴	120日历天	/	/	/	否	否	否	6586295	无
204	石家庄通畅公路工程有限公司	项目经理：梁业，项目总工：李起	已递交	120日历天	B	B	B	否	否	否	6855585	无
205	福建景西卓建设工程有限公司	项目经理：游伟，项目总工：赵永佳	免缴投标保证金	120日历天	B	B	B	否	否	否	6599664	无
206	沈阳通航交通设施有限公司	周兴、郭旭	无失信免缴	120 日历天	B	B	B	否	否	否	6614957	无
207	江西盛通建设工程有限公司	蒋美华 、张祖煌	已递交免缴承诺函	120 日历天	/	/	/	否	否	否	6802383	无
208	湖南金沙路桥建设有限公司	项目经理：陈维舟、项目总工：刘颂	无失信企业免缴	120日历天	B	B	B	是	是	是	6647790	无
209	广东恒泰公路工程有限公司	管柳频、吴寅文	免缴交保证金	120日历天	/	/	/	否	否	否	6725450	无
210	兴国县交通公路桥梁工程有限公司	谌忠诚、黄青峰	已按要求递交	120日历天	/	/	/	否	否	否	6653470	无
211	核工业华东建设工程集团有限公司	欧阳明：王忠兴	140000	120日历天	B	B	B	否	否	否	6596156	无
212	宁波交通工程建设集团有限公司	项目经理：陈金国；项目总工：王立亮	已递交免缴投标保证金承诺函	120日历天	B	B	B	否	否	否	6565062	无
213	安徽康志路桥工程有限责任公司	项目经理：袁渊和总工：籍飞霞	已递交	120日历天	/	/	/	否	否	否	6811343	无
214	辽宁瀚鸿建设工程有限公司	项目经理：孙奇，项目总工：徐爽	无失信记录企业免交投标保证金	120日历天，计划开工日期：2025-05-06，计划交工日期：2025-09-06	/	/	/	否	否	否	6733167	无
215	福建省路桥建设集团有限公司	项目经理姓名：张臣捷，项目总工姓名：林何英	已递交免缴保证金承诺函	120日历天	AA	/	/	否	否	否	6774818	无
216	江西泰地建筑工程有限公司	陈彬、徐刚	已递交	120日历天	/	/	/	否	否	否	6681267	无
217	河北特利特交通设施有限公司	项目经理：牟瑞锋 项目总工：何晓斌	已递交	计划工期：120 日历天 计划开工日期：2025-05-06 计划交工日期：2025-09-06	/	/	/	否	否	否	6686118	无
218	江西亿安工程科技集团有限公司	项目经理：黄绵安；项目总工：柯玮	已递交	计划工期：120 日历天，其它工期要求：/，计划开工日期：2025-05-06，计划交工日期：2025-09-06 日历天。	/	/	/	否	否	否	6733778	无
219	福建第一公路工程集团有限公司	赖礼协、吴源贵	属于无失信企业免缴投标保证金	计划工期：120 日历天；其它工期要求：/ ；计划开工日期：2025-05-06；计划交工日期：2025-09-06	B	B	B	否	否	否	6734910	无
220	辽宁中盛建安工程有限公司	梁春雨、王琳琳	已递交	120	B	B	B	否	否	否	6515557	无
221	安徽择正公路工程有限责任公司	项目经理：汤勇；项目总工：刘余年	无失信免缴	120日历天	/	/	/	否	否	否	6758633	无
222	中普建设集团有限公司	梁蕾、周霞	已递交（免缴）	120日历天	B	B	B	否	否	否	6538564	无
223	宜春市交通公路工程建设有限公司	谢辉和廖超	免缴	120 日历天	/	/	/	否	否	否	6855574	无
224	福建鑫福泰建设发展有限公司	宋锦宇、郑小玲	免缴	120 日历天	B	B	B	否	否	否	6784408	无
225	河北龙威交通工程有限公司	张海军、崔凤燕	递交免缴投标保证金承诺函	计划工期：120 日历天；其它工期要求：/ ；计划开工日期：2025-05-06；计划交工日期：2025-09-06	/	/	/	否	否	否	6663111	无
226	山西长达交通设施有限公司	项目经理:张玉红；项目总工：阴攀峰	提交免缴投标保证金承诺函	计划工期：120 日历天，其它工期要求：/，计划开工日期：2025-05-06，计划交工日期：2025-09-06	/	/	/	否	否	否	6630823	无
227	福建南平路桥建设工程有限公司	曾瀚超、叶晓枫	免缴保证金	120天	B	B	B	否	否	否	6647861	无
228	北方一建建设集团有限公司	段成毅、张德辉	本项目免缴投标保证金	120	B	B	B	否	否	否	6344395	无
229	内蒙古恒德市政公用工程有限责任公司	陈建、赵义军	无失信免缴	计划工期：120日历天	/	/	/	否	否	否	6957865	无
230	安徽昂堃建设工程有限公司	项目经理：许大勇；项目总工：秦舒莹。	符合免缴保证金情形	120	/	/	/	否	否	否	6669327	无
231	宏峰建设集团有限公司	王超，张杰	无失信企业免缴投标保证金	120日历天	B	B	B	否	否	否	6811038	无
